algorithm,dataset,model,sensitive_feature,run_id,budget,n_idis,idi_ratio,idi_diversity,runtime_seconds
GA-FT,adult,dnn,age,23,1000,574,0.574,1.4074983596801758,924.288961648941
RS,adult,dnn,age,24,1000,248,0.248,0.8909462094306946,26.34543490409851
GA-FT,adult,dnn,age,24,1000,577,0.577,1.2638583183288574,24.509599924087524
RS,adult,dnn,age,25,1000,250,0.25,0.9403560757637024,712.6977891921997
GA-FT,adult,dnn,age,25,1000,578,0.578,1.3203357458114624,22.793914318084717
RS,adult,dnn,age,26,1000,243,0.243,0.9411770701408386,943.1576159000397
GA-FT,adult,dnn,age,26,1000,477,0.477,1.3112998008728027,23.294447898864746
RS,adult,dnn,age,27,1000,247,0.247,0.9259216785430908,979.2016899585724
GA-FT,adult,dnn,age,27,1000,588,0.588,1.1907048225402832,22.960614919662476
RS,adult,dnn,age,28,1000,257,0.257,0.9187597036361694,1015.8330078125
GA-FT,adult,dnn,age,28,1000,533,0.533,1.2088719606399536,23.353330850601196
RS,adult,dnn,age,29,1000,255,0.255,0.9386855363845825,22.635293006896973
GA-FT,adult,dnn,age,29,1000,461,0.461,1.254177212715149,614.6279528141022
RS,adult,lr,race,0,1000,70,0.07,0.7343593835830688,0.09322690963745117
GA-FT,adult,lr,race,0,1000,125,0.125,1.4058867692947388,0.12431001663208008
RS,adult,lr,race,1,1000,83,0.083,0.6072981953620911,0.08868098258972168
GA-FT,adult,lr,race,1,1000,139,0.139,1.383736491203308,0.12426400184631348
RS,adult,lr,race,2,1000,72,0.072,0.7036383748054504,0.0892038345336914
GA-FT,adult,lr,race,2,1000,107,0.107,1.4423762559890747,0.12374711036682129
RS,adult,lr,race,3,1000,53,0.053,0.7307779788970947,0.09260201454162598
GA-FT,adult,lr,race,3,1000,128,0.128,1.4467418193817139,0.1310100555419922
RS,adult,lr,race,4,1000,80,0.08,0.7060728669166565,0.09254789352416992
GA-FT,adult,lr,race,4,1000,135,0.135,1.359574556350708,0.1298072338104248
RS,adult,lr,race,5,1000,63,0.063,0.6469048261642456,0.09408879280090332
GA-FT,adult,lr,race,5,1000,141,0.141,1.2934787273406982,0.12555384635925293
RS,adult,lr,race,6,1000,68,0.068,0.7268542647361755,0.09507608413696289
GA-FT,adult,lr,race,6,1000,138,0.138,1.272557258605957,0.12379789352416992
RS,adult,lr,race,7,1000,71,0.071,0.7395682334899902,0.08988595008850098
GA-FT,adult,lr,race,7,1000,120,0.12,1.3210668563842773,0.12377619743347168
RS,adult,lr,race,8,1000,67,0.067,0.7494480609893799,0.09150409698486328
GA-FT,adult,lr,race,8,1000,89,0.089,1.2749015092849731,0.12154603004455566
RS,adult,lr,race,9,1000,75,0.075,0.6640980243682861,0.0920250415802002
GA-FT,adult,lr,race,9,1000,120,0.12,1.2943320274353027,0.12535595893859863
RS,adult,lr,race,10,1000,76,0.076,0.6987914443016052,0.0926971435546875
GA-FT,adult,lr,race,10,1000,134,0.134,1.2817878723144531,0.12671208381652832
RS,adult,lr,race,11,1000,68,0.068,0.7590013146400452,0.09317612648010254
GA-FT,adult,lr,race,11,1000,115,0.115,1.2803449630737305,0.12511992454528809
RS,adult,lr,race,12,1000,69,0.069,0.6710022687911987,0.09365034103393555
GA-FT,adult,lr,race,12,1000,120,0.12,1.1711665391921997,0.12920498847961426
RS,adult,lr,race,13,1000,55,0.055,0.7402653694152832,0.09251785278320312
GA-FT,adult,lr,race,13,1000,142,0.142,1.353898286819458,0.12508797645568848
RS,adult,lr,race,14,1000,75,0.075,0.6390179395675659,0.09253382682800293
GA-FT,adult,lr,race,14,1000,154,0.154,1.4758378267288208,0.1260528564453125
RS,adult,lr,race,15,1000,64,0.064,0.6843169927597046,0.09869790077209473
GA-FT,adult,lr,race,15,1000,114,0.114,1.230297565460205,0.12769317626953125
RS,adult,lr,race,16,1000,58,0.058,0.6624450087547302,0.09337711334228516
GA-FT,adult,lr,race,16,1000,113,0.113,1.2575327157974243,0.1267228126525879
RS,adult,lr,race,17,1000,81,0.081,0.7057206034660339,0.09025883674621582
GA-FT,adult,lr,race,17,1000,105,0.105,1.215474009513855,0.12980413436889648
RS,adult,lr,race,18,1000,69,0.069,0.702967643737793,0.09964990615844727
GA-FT,adult,lr,race,18,1000,134,0.134,1.2775620222091675,0.1255791187286377
RS,adult,lr,race,19,1000,56,0.056,0.7167447805404663,0.09583711624145508
GA-FT,adult,lr,race,19,1000,148,0.148,1.2601258754730225,0.12420892715454102
RS,adult,lr,race,20,1000,61,0.061,0.7234633564949036,0.09360313415527344
GA-FT,adult,lr,race,20,1000,141,0.141,1.365663766860962,0.1271648406982422
RS,adult,lr,race,21,1000,59,0.059,0.733424186706543,0.09261202812194824
GA-FT,adult,lr,race,21,1000,168,0.168,1.1788604259490967,0.12732601165771484
RS,adult,lr,race,22,1000,58,0.058,0.7328760623931885,0.09112906455993652
GA-FT,adult,lr,race,22,1000,169,0.169,1.1737070083618164,0.1261751651763916
RS,adult,lr,race,23,1000,60,0.06,0.7408030033111572,0.09308505058288574
GA-FT,adult,lr,race,23,1000,148,0.148,1.3750005960464478,0.12825298309326172
RS,adult,lr,race,24,1000,71,0.071,0.6529410481452942,0.09041976928710938
GA-FT,adult,lr,race,24,1000,130,0.13,1.2754415273666382,0.12291097640991211
RS,adult,lr,race,25,1000,66,0.066,0.6642714142799377,0.09273982048034668
GA-FT,adult,lr,race,25,1000,120,0.12,1.4320405721664429,0.12264108657836914
RS,adult,lr,race,26,1000,82,0.082,0.6646398901939392,0.09047293663024902
GA-FT,adult,lr,race,26,1000,149,0.149,1.4410336017608643,0.12660622596740723
RS,adult,lr,race,27,1000,62,0.062,0.7692999839782715,0.09368205070495605
GA-FT,adult,lr,race,27,1000,132,0.132,1.2981820106506348,0.12468981742858887
RS,adult,lr,race,28,1000,76,0.076,0.7173706293106079,0.09348201751708984
GA-FT,adult,lr,race,28,1000,106,0.106,1.35364830493927,0.12543106079101562
RS,adult,lr,race,29,1000,81,0.081,0.694526731967926,0.09112811088562012
GA-FT,adult,lr,race,29,1000,126,0.126,1.160762906074524,0.12538981437683105
RS,adult,lr,gender,0,1000,89,0.089,0.8389321565628052,0.09531497955322266
GA-FT,adult,lr,gender,0,1000,177,0.177,1.4928550720214844,0.1474919319152832
RS,adult,lr,gender,1,1000,104,0.104,0.7598848938941956,0.09925293922424316
GA-FT,adult,lr,gender,1,1000,194,0.194,1.479898452758789,0.1348731517791748
RS,adult,lr,gender,2,1000,86,0.086,0.8043191432952881,0.09851789474487305
GA-FT,adult,lr,gender,2,1000,159,0.159,1.4338339567184448,0.13038182258605957
RS,adult,lr,gender,3,1000,75,0.075,0.8059517741203308,0.09265780448913574
GA-FT,adult,lr,gender,3,1000,180,0.18,1.326080560684204,0.12757110595703125
RS,adult,lr,gender,4,1000,88,0.088,0.7780600786209106,0.09250402450561523
GA-FT,adult,lr,gender,4,1000,206,0.206,1.282080054283142,0.12438607215881348
RS,adult,lr,gender,5,1000,79,0.079,0.8045158386230469,0.09311103820800781
GA-FT,adult,lr,gender,5,1000,205,0.205,1.2902147769927979,0.12814998626708984
RS,adult,lr,gender,6,1000,89,0.089,0.8336094617843628,0.09416389465332031
GA-FT,adult,lr,gender,6,1000,184,0.184,1.2650909423828125,0.1268911361694336
RS,adult,lr,gender,7,1000,90,0.09,0.8857194185256958,0.09414100646972656
GA-FT,adult,lr,gender,7,1000,182,0.182,1.3828402757644653,0.1350100040435791
RS,adult,lr,gender,8,1000,82,0.082,0.7500929236412048,0.09343385696411133
GA-FT,adult,lr,gender,8,1000,138,0.138,1.2944608926773071,0.1271369457244873
RS,adult,lr,gender,9,1000,90,0.09,0.7636011838912964,0.0930778980255127
GA-FT,adult,lr,gender,9,1000,173,0.173,1.2461202144622803,0.1249539852142334
RS,adult,lr,gender,10,1000,92,0.092,0.795535683631897,0.09062504768371582
GA-FT,adult,lr,gender,10,1000,174,0.174,1.3645029067993164,0.13643789291381836
RS,adult,lr,gender,11,1000,85,0.085,0.8732437491416931,0.09201598167419434
GA-FT,adult,lr,gender,11,1000,176,0.176,1.1995375156402588,0.1279160976409912
RS,adult,lr,gender,12,1000,80,0.08,0.7522558569908142,0.09354925155639648
GA-FT,adult,lr,gender,12,1000,184,0.184,1.3316612243652344,0.12517309188842773
RS,adult,lr,gender,13,1000,62,0.062,0.8512123823165894,0.09079766273498535
GA-FT,adult,lr,gender,13,1000,181,0.181,1.337624192237854,0.14552879333496094
RS,adult,lr,gender,14,1000,92,0.092,0.7330260276794434,0.09976911544799805
GA-FT,adult,lr,gender,14,1000,215,0.215,1.440760850906372,0.13764190673828125
RS,adult,lr,gender,15,1000,85,0.085,0.8333015441894531,0.10128593444824219
GA-FT,adult,lr,gender,15,1000,185,0.185,1.270701289176941,0.13598012924194336
RS,adult,lr,gender,16,1000,76,0.076,0.8057929873466492,0.10615706443786621
GA-FT,adult,lr,gender,16,1000,225,0.225,1.2400456666946411,0.13286590576171875
RS,adult,lr,gender,17,1000,88,0.088,0.756737470626831,0.09301400184631348
GA-FT,adult,lr,gender,17,1000,163,0.163,1.3995826244354248,0.1272120475769043
RS,adult,lr,gender,18,1000,81,0.081,0.8375067710876465,0.0900261402130127
GA-FT,adult,lr,gender,18,1000,203,0.203,1.2103534936904907,0.1270279884338379
RS,adult,lr,gender,19,1000,70,0.07,0.8379116058349609,0.09294605255126953
GA-FT,adult,lr,gender,19,1000,202,0.202,1.3259292840957642,0.12836599349975586
RS,adult,lr,gender,20,1000,72,0.072,0.8660508394241333,0.09044671058654785
GA-FT,adult,lr,gender,20,1000,210,0.21,1.421635627746582,0.12539196014404297
RS,adult,lr,gender,21,1000,76,0.076,0.8041918277740479,0.09278202056884766
GA-FT,adult,lr,gender,21,1000,193,0.193,1.419673204421997,0.1287980079650879
RS,adult,lr,gender,22,1000,67,0.067,0.8194515109062195,0.09241127967834473
GA-FT,adult,lr,gender,22,1000,175,0.175,1.3632742166519165,0.12458491325378418
RS,adult,lr,gender,23,1000,70,0.07,0.8384109735488892,0.09245514869689941
GA-FT,adult,lr,gender,23,1000,209,0.209,1.3331429958343506,0.13029003143310547
RS,adult,lr,gender,24,1000,84,0.084,0.7174803614616394,0.09752821922302246
GA-FT,adult,lr,gender,24,1000,177,0.177,1.357464075088501,0.12736797332763672
RS,adult,lr,gender,25,1000,77,0.077,0.7761185169219971,0.09362316131591797
GA-FT,adult,lr,gender,25,1000,162,0.162,1.2885123491287231,0.12479400634765625
RS,adult,lr,gender,26,1000,93,0.093,0.7186154723167419,0.0937349796295166
GA-FT,adult,lr,gender,26,1000,181,0.181,1.3974798917770386,0.12505817413330078
RS,adult,lr,gender,27,1000,73,0.073,0.8494470119476318,0.08979010581970215
GA-FT,adult,lr,gender,27,1000,182,0.182,1.3695193529129028,0.12716102600097656
RS,adult,lr,gender,28,1000,97,0.097,0.839871346950531,0.09198594093322754
GA-FT,adult,lr,gender,28,1000,170,0.17,1.377652645111084,0.12420988082885742
RS,adult,lr,gender,29,1000,91,0.091,0.7562516331672668,0.09049105644226074
GA-FT,adult,lr,gender,29,1000,180,0.18,1.2895418405532837,0.12668275833129883
RS,adult,lr,age,0,1000,532,0.532,0.9575061202049255,0.10327720642089844
GA-FT,adult,lr,age,0,1000,734,0.734,1.4355785846710205,0.14510011672973633
RS,adult,lr,age,1,1000,581,0.581,0.9646022319793701,0.09936094284057617
GA-FT,adult,lr,age,1,1000,777,0.777,1.340394139289856,0.13951587677001953
RS,adult,lr,age,2,1000,530,0.53,0.9723012447357178,0.10337519645690918
GA-FT,adult,lr,age,2,1000,750,0.75,1.3763586282730103,0.14951395988464355
RS,adult,lr,age,3,1000,572,0.572,0.981020987033844,0.09549593925476074
GA-FT,adult,lr,age,3,1000,720,0.72,1.3341526985168457,0.13747310638427734
RS,adult,lr,age,4,1000,579,0.579,0.9753379225730896,0.09760308265686035
GA-FT,adult,lr,age,4,1000,778,0.778,1.355332374572754,0.14211297035217285
RS,adult,lr,age,5,1000,529,0.529,0.9657306671142578,0.09766221046447754
GA-FT,adult,lr,age,5,1000,759,0.759,1.3877249956130981,0.1406087875366211
RS,adult,lr,age,6,1000,563,0.563,0.9525071382522583,0.09831976890563965
GA-FT,adult,lr,age,6,1000,695,0.695,1.4510408639907837,0.13923382759094238
RS,adult,lr,age,7,1000,544,0.544,0.9798977971076965,0.09742307662963867
GA-FT,adult,lr,age,7,1000,745,0.745,1.4045584201812744,0.14002084732055664
RS,adult,lr,age,8,1000,559,0.559,0.9754599332809448,0.09634780883789062
GA-FT,adult,lr,age,8,1000,745,0.745,1.3990474939346313,0.14205503463745117
RS,adult,lr,age,9,1000,548,0.548,0.9597530961036682,0.09953689575195312
GA-FT,adult,lr,age,9,1000,747,0.747,1.397262692451477,0.1384739875793457
RS,adult,lr,age,10,1000,580,0.58,0.9715251922607422,0.09607815742492676
GA-FT,adult,lr,age,10,1000,752,0.752,1.333081841468811,0.1398601531982422
RS,adult,lr,age,11,1000,542,0.542,0.9914363026618958,0.09409713745117188
GA-FT,adult,lr,age,11,1000,773,0.773,1.3455873727798462,0.1384119987487793
RS,adult,lr,age,12,1000,565,0.565,0.9586659669876099,0.09869694709777832
GA-FT,adult,lr,age,12,1000,744,0.744,1.3282214403152466,0.1396949291229248
RS,adult,lr,age,13,1000,571,0.571,0.9718008041381836,0.09726214408874512
GA-FT,adult,lr,age,13,1000,761,0.761,1.34263277053833,0.13927602767944336
RS,adult,lr,age,14,1000,546,0.546,0.9693090319633484,0.09811282157897949
GA-FT,adult,lr,age,14,1000,772,0.772,1.3323134183883667,0.1418440341949463
RS,adult,lr,age,15,1000,549,0.549,0.9722626209259033,0.09685730934143066
GA-FT,adult,lr,age,15,1000,737,0.737,1.2848353385925293,0.13947224617004395
